sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30139-PW,PW:1581,32wk,Arm A,47.34229,23.00653,7.17311,0.38363,2.01481,3.39397,1.13295,1.16493,0.76124,1.21972,0.60287,0.73416,0.55939,2.83231,0.2789,0.07329,0.47006,1.25269,0.78468,0.99099
ST-30140-PW,PW:1567,32wk,Arm D,43.98271,11.69166,2.05627,2.54078,5.37978,0.36148,2.68092,3.18047,3.86157,3.7816,3.49293,1.0533,1.70164,1.58375,1.329,5.59195,0.0,0.20351,0.63584,1.06387
ST-30141-PW,PW:1572,32wk,Arm B,47.28183,14.02231,18.34201,5.24232,1.15284,1.9334,0.53961,1.17198,0.78764,1.8877,0.35374,0.27737,0.73594,1.08156,0.21631,0.66319,0.07018,0.38534,0.17847,0.24445
ST-30142-PW,PW:1578,32wk,Arm C,1.25067,38.78765,0.07839,4.24689,4.03368,18.82533,0.58361,8.14127,5.17158,1.19437,1.84131,0.94978,0.0,0.0,1.93501,0.0,0.0,4.18475,0.0,0.0
ST-30143-PW,PW:1649,32wk,Arm C,10.20577,7.08684,4.51873,0.23288,4.83445,7.51607,1.17614,3.16098,3.94495,1.15772,0.83792,0.22921,0.0,0.85062,1.57475,42.81648,0.29412,1.00716,0.06979,1.34682
ST-30145-PW,PW:1661,32wk,Arm B,27.58415,41.41338,6.7743,0.0989,4.44889,0.4225,0.33305,1.00991,0.59826,1.28294,0.53443,1.38074,1.48844,7.01611,0.36032,0.07055,0.96467,2.05936,0.26298,0.28117
ST-30146-PW,PW:1629,32wk,Arm C,13.13253,5.89874,0.00474,5.80595,6.82452,1.82897,2.37445,10.6834,6.7653,5.77289,5.96361,3.23054,0.0,0.0,9.07452,0.06838,0.00835,0.94972,0.44255,0.0
ST-30147-PW,PW:1662,32wk,Arm A,25.17443,41.10684,2.55536,0.13219,9.24098,2.73538,0.64149,2.27169,0.91679,0.57658,0.0,3.44956,0.0,5.8627,0.0,0.0,0.0,3.46453,0.05016,0.66086
ST-30148-PW,PW:1654,32wk,Arm A,33.75048,16.48834,0.48215,0.31967,6.31044,11.56206,1.32469,5.02121,5.7266,2.58193,2.04081,0.1975,0.0,1.03598,0.53525,0.02663,0.76281,1.59957,3.03315,0.0
ST-30150-PW,PW:1667,32wk,Arm C,9.70898,41.09616,0.0,11.99575,6.13166,0.975,8.20284,5.66983,4.38968,1.34881,1.24309,0.25293,0.0,2.72683,0.93198,0.0,0.0,0.8536,0.0,0.13849
ST-30151-PW,PW:1660,32wk,Arm D,41.64241,23.92365,3.08126,0.17632,2.83436,0.8532,0.04311,0.7399,0.93803,1.25581,0.44934,0.20486,0.7091,0.61159,0.29766,2.37122,5.26155,2.26864,0.16594,0.07672
ST-30152-PW,PW:1709,32wk,Arm C,16.63744,31.79203,2.87934,3.28993,6.25874,5.3378,2.8796,5.63577,3.64025,4.86477,1.8264,0.86805,0.0,2.75189,1.80762,0.27648,0.0,0.5139,0.05625,1.04049
